,ID,gr_engine_active,sm_active,sm_occupancy,tensor_activity,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,mem_util_samples,gpu_util_samples,power_usage,total_energy_consumption,pstate,gpu_temp,memory_temp,sm_clock,run_time,application,sm_app_clock
52,0.0,0.9989328,0.9504899,0.17919317,0.0,0.0,0.0,0.1814365,0.0,5880106.780149413,3290628.0021344717,98.31804,0.0,0.0,98.18143,103.80677,1325.851385272145,0.0,29.217716,43.34472,630.0,12.506666666666666,tpacf,630
53,0.0,1.0,0.951167,0.18064316,0.0,0.0,0.0,0.18297821,0.0,5989359.856846473,3365284.823651452,98.28008,0.0,0.0,98.185684,103.4265,1346.9614149377594,0.0,29.241701,43.87863,615.0,12.74,tpacf,615
54,0.0,0.9990398,0.9492645,0.17855874,0.0,0.0013299285,0.0,0.18148008,0.0,7332680.255362615,16674422.71092952,98.00102,0.0,0.0,97.85904,102.76225,1366.6630786516853,0.0,29.254341,43.998978,600.0,12.96,tpacf,600
55,0.0,0.99992794,0.9544927,0.17971762,0.0,0.00033787734,0.0,0.18289581,0.0,5841102.505355404,4247941.876338851,98.30866,0.0,0.0,98.11295,102.294914,1387.2436553067184,0.0,28.545277,43.279453,585.0,13.236666666666666,tpacf,585
56,0.0,0.99955726,0.95196754,0.18037786,0.0,0.0,0.0,0.18362595,0.0,5837220.106870229,3184682.711832061,98.33969,0.0,0.0,98.221375,101.93213,1408.0241183206108,0.0,29.13168,43.670803,570.0,13.493333333333334,tpacf,570
57,0.0,1.0,0.95244205,0.17983873,0.0,0.0,0.0,0.18345226,0.0,5855574.635773865,3223500.560704356,98.50232,0.0,0.0,98.32067,101.18153,1424.9855329008342,0.0,29.089897,43.949028,555.0,13.746666666666668,tpacf,555
58,0.0,0.9995341,0.9512491,0.17974462,0.0,0.0,0.0,0.18363261,0.0,5930632.737455197,3270313.7894265233,98.59498,0.0,0.0,98.4767,100.630455,1452.0521989247313,0.0,28.954302,43.67025,540.0,14.036666666666669,tpacf,540
59,0.0,0.9992303,0.9509368,0.17867965,0.0,0.0006666667,0.0,0.18300173,0.0,6232683.878787879,7672607.864935065,98.633766,0.0,0.0,98.52554,100.055855,1478.8001904761904,0.0,29.087446,43.9368,525.0,14.39,tpacf,525
60,0.0,0.9991251,0.9525774,0.17969029,0.0,6.9991256e-06,0.0,0.18422134,0.0,5919815.094488189,3312964.692913386,98.6168,0.0,0.0,98.47507,99.34672,1497.8684951881014,0.0,29.015749,43.915134,510.0,14.696666666666664,tpacf,510
61,0.0,0.9999524,0.9826939,0.8299218,0.0,0.64578575,0.0,0.38010886,0.0,16505688.384353742,33024093.530612245,92.36054,74.21769,74.15646,91.37075,450.72565,4488.145319727891,0.0,48.095238,52.35034,1410.0,4.783333333333333,stencil,1410
62,0.0,1.0,0.9823974,0.8288907,0.0,0.64216554,0.0,0.38183442,0.0,15851592.602649007,32204258.927152317,95.09271,76.51987,75.56622,94.11589,439.00174,4440.339543046358,0.0,47.71192,52.649006,1395.0,4.746666666666666,stencil,1395
63,0.0,0.99709445,0.9805668,0.82660586,0.0,0.63661563,0.0,0.38316613,0.0,31485093.25732899,43469789.99674267,93.4202,73.98371,73.83388,92.47557,423.36884,4387.512530944625,0.0,46.59935,52.39414,1380.0,4.77,stencil,1380
64,0.0,0.997934,0.98196703,0.827,0.0,0.6331584,0.0,0.38572606,0.0,19047465.564356435,55988222.07920792,94.25413,74.75908,73.91089,93.33003,410.9812,4334.18898019802,0.0,45.848186,52.155117,1365.0,4.846666666666667,stencil,1365
65,0.0,1.0,0.98334306,0.8275113,0.0,0.63093203,0.0,0.38788998,0.0,15757974.13592233,31644709.116504855,93.53075,73.71521,73.28479,92.566345,402.74033,4324.068352750809,0.0,45.37864,52.106796,1350.0,4.836666666666667,stencil,1350
